1, aalugalog,
2, aam,
3, aangaanga,
4, aapaapa,
5, aba,
6, aba,
7, abahin,
8, abain,
9, abain,
10, abaka,
11, abakada,
12, abakadahin,
13, abako,
14, abala,
15, abala,
16, abala,
17, abalahin,
18, abalangabala,
19, abaloryo,
20, abanderado,
21, abandonada,
22, abandonadodo,
23, abang,
24, abangaba,
25, abangan,
26, abangan,
27, abaniko,
28, abanikuhan,
29, abanikuhin,
30, abano,
31, abante,
32, Abante,
33, abasto,
34, abat,
35, abatan,
36, abatan,
37, abay,
38, abay,
39, abaymga,
40, abaynababae,
41, abaynalalaki,
42, abayan,
43, abdikasyon,
44, abelyana,
45, abenida,
46, abentura,
47, abenturera,
48, abenturera,
49, abentureraro,
50, abenturero,
51, abenturero,
52, abenturosaso,
53, aberia,
54, aberya,
55, abestrus,
56, abilidad,
57, abiso,
58, abisuhan,
59, abito,
60, abitsuwelas,
61, abitswelas,
62, abla,
63, abnormal,
64, abo,
65, abog,
66, abogado,
67, abogasia,
68, abogasya,
69, abok,
70, abokado,
71, abonado,
72, abono,
73, abonohan,
74, aborsiyon,
75, abot,
76, abot,
77, abot,
78, abotngisip,
79, abotngmata,
80, abotngtanaw,
81, abotngtingin,
82, abotdinig,
83, abotisip,
84, abottanaw,
85, abottanaw,
86, abottingin,
87, aboy,
88, abrasador,
89, abrasadurin,
90, abrasete,
91, abrasibo,
92, abrigo,
93, abriguhan,
94, Abril,
95, abrilata,
96, abrisete,
97, absen,
98, absent,
99, abses,
100, abseso,
101, absisa,
102, abstinensiya,
103, abstinensya,
104, absulbihan,
105, absulusyon,
106, absulutismo,
107, absulutista,
108, absuluto,
109, absuwelto,
110, absuweltuhin,
111, abswelto,
112, abubot,
113, abugado,
114, abuhan,
115, abuhin,
116, abuhin,
117, abukado,
118, abukay,
119, abuloy,
120, abuluyan,
121, abuluyan,
122, abunado,
123, aburido,
124, aburiduhin,
125, abusada,
126, abusado,
127, abusera,
128, abusero,
129, abuso,
130, abusuhin,
131, abutabot,
132, abutan,
133, abutan,
134, abutan,
135, abutin,
136, abutin,
137, abuwela,
138, abuwelo,
139, abuyaboy,
140, abyad,
141, abyador,
142, abyarin,
143, abyasyon,
144, abyog,
145, ada,
146, Adarna,
147, Adat,
148, adberb,
149, adberbyo,
150, Adbiyento,
151, adelantada,
152, adelantado,
153, adelanto,
154, adelpa,
155, adhika,
156, adhikain,
157, adhikain,
158, adik,
159, adikto,
160, adisyunal,
161, Adiyos,
162, adlaw,
163, administrador,
164, administrasyon,
165, admiral,
166, adobe,
167, adobo,
168, adobongpalaka,
169, adolesens,
170, adolesent,
171, adopsyon,
172, adorador,
173, adorasyon,
174, adorno,
175, adornohan,
176, adres,
177, adresan,
178, adult,
179, adulterado,
180, adulterasyon,
181, adulto,
182, adwana,
183, adya,
184, adyenda,
185, adyo,
186, Adyos,
187, adyusan,
188, adyusan,
189, aeroplano,
190, aerostatiko,
191, agag,
192, agagan,
193, aga,
194, agaas,
195, agad,
196, agad,
197, agadagad,
198, agahan,
199, agahan,
200, agahasagahas,
201, agamagam,
202, agamagamin,
203, agamagam,
204, agamahan,
205, agap,
206, agap,
207, agapan,
208, agapay,
209, agapayanan,
210, agaran,
211, agarin,
212, agas,
213, agasas,
214, agasas,
215, agata,
216, agatat,
217, agawaw,
218, agawbuhay,
219, agawdilim,
220, agawtulog,
221, agawan,
222, agawan,
223, agawin,
224, agayay,
225, agham,
226, aghampolitiko,
227, aghimo,
228, aghimuan,
229, aghimuin,
230, agihap,
231, agikik,
232, agikik,
233, agila,
234, agila,
235, agimat,
236, agimatan,
237, aginaldo,
238, aginalduhan,
239, aginging,
240, aginging,
241, agitit,
242, agitit,
243, agiw,
244, aglahi,
245, aglahiin,
246, agnas,
247, agnasin,
248, agnos,
249, agnostika,
250, agnostiko,
251, agong,
252, agos,
253, Agosto,
254, agoy,
255, agpang,
256, agpangan,
257, agrabyado,
258, agrabyaduhin,
259, agrarya,
260, agraryo,
261, agrasyadado,
262, agrerian,
263, agresibo,
264, agridulse,
265, agrikultor,
266, agrikultura,
267, agrikultural,
268, agrimensor,
269, agtas,
270, agting,
271, aguha,
272, aguhilya,
273, aguho,
274, aguhon,
275, agunias,
276, agunyas,
277, agusan,
278, agwa,
279, agwabendita,
280, agwaplorida,
281, agwado,
282, agwador,
283, agwahe,
284, agwanta,
285, agwantahin,
286, agwaras,
287, agwardiyente,
288, agwardyente,
289, agwas,
290, agwasa,
291, agwat,
292, agwatngliko,
293, agwatan,
294, agwatyempo,
295, ahas,
296, ahasin,
